"id","sentence"
"1","डॉ भीमराव आंबेडकर अंतरराष्ट्रीय हवाई अड्डा दिल्ली के पास स्थित है जहाँ प्रोफेसर राजेश कुमार ने भाषण दिया"
"2","नेहरू मेमोरियल म्यूजियम एंड लाइब्रेरी नई दिल्ली में स्थित है जहाँ डॉक्टर राकेश शर्मा ने व्याख्यान दिया"
"3","राजीव गांधी अंतरराष्ट्रीय हवाई अड्डा हैदराबाद में स्थित है जहाँ इंजीनियर विकास गुप्ता ने प्रस्तुति दी"
"4","इंदिरा गांधी राष्ट्रीय मुक्त विश्वविद्यालय के छात्र राहुल गांधी ने अमेठी में कार्यक्रम आयोजित किया"
"5","डॉ ए पी जे अब्दुल कलाम तकनीकी विश्वविद्यालय लखनऊ के वैज्ञानिक डॉक्टर अनिल कुमार ने शोध प्रस्तुत किया"
"6","टाटा इंस्टीट्यूट ऑफ फंडामेंटल रिसर्च मुंबई में स्थित है जहाँ वैज्ञानिक सीमा वर्मा ने प्रस्तुति दी"
"7","डॉ राम मनोहर लोहिया राष्ट्रीय विधि विश्वविद्यालय लखनऊ के प्रोफेसर राम मनोहर ने दिल्ली विश्वविद्यालय में व्याख्यान दिया"
"8","अटल बिहारी वाजपेयी भारतीय प्रौद्योगिकी संस्थान कानपुर के प्रोफेसर अटल बिहारी ने भोपाल में व्याख्यान दिया"
"9","भारतीय रिज़र्व बैंक के पूर्व गवर्नर रघुराम राजन ने शिकागो विश्वविद्यालय में प्रोफेसर रघुराम के रूप में कार्य किया"
"10","सरदार वल्लभभाई पटेल राष्ट्रीय पुलिस अकादमी हैदराबाद के अधिकारी पटेल ने गुजरात में प्रशिक्षण दिया"
"11","मौलाना आज़ाद राष्ट्रीय प्रौद्योगिकी संस्थान भोपाल के प्रोफेसर आज़ाद ने दिल्ली के जामिया मिल्लिया इस्लामिया विश्वविद्यालय में व्याख्यान दिया"
"12","चंद्रशेखर आज़ाद कृषि एवं प्रौद्योगिकी विश्वविद्यालय कानपुर के छात्र आज़ाद ने इलाहाबाद विश्वविद्यालय में प्रवेश लिया"
"13","लाल बहादुर शास्त्री राष्ट्रीय प्रशासन अकादमी मसूरी के प्रशिक्षु शास्त्री ने उत्तर प्रदेश के इलाहाबाद में प्रशिक्षण लिया"
"14","भाभा परमाणु अनुसंधान केंद्र मुंबई के वैज्ञानिक भाभा ने टाटा मेमोरियल अस्पताल में अनुसंधान किया"
"15","रानी लक्ष्मीबाई राष्ट्रीय रक्षा विश्वविद्यालय गुजरात के अधिकारी लक्ष्मीबाई ने झांसी विश्वविद्यालय में प्रशिक्षण लिया"
"16","सुभाष चंद्र बोस राष्ट्रीय खेल संस्थान पटियाला के कोच बोस ने कोलकाता के नेताजी सुभाष चंद्र बोस अंतरराष्ट्रीय हवाई अड्डे पर कार्यक्रम किया"
"17","डॉ एपीजे अब्दुल कलाम अंतरिक्ष अनुसंधान केंद्र तिरुवनंतपुरम के वैज्ञानिक कलाम ने भारतीय अंतरिक्ष अनुसंधान संगठन में कार्य"
"18","महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना के अधिकारी गांधी ने अहमदाबाद के साबरमती आश्रम में भाषण दिया"
"19","राज कपूर फिल्म एंड टेलीविजन संस्थान पुणे के निर्देशक कपूर ने मुंबई विश्वविद्यालय में व्याख्यान दिया"
"20","इंदिरा गांधी राष्ट्रीय कला केंद्र दिल्ली के अधिकारी गांधी ने इंदिरा गांधी अंतरराष्ट्रीय हवाई अड्डे पर कार्यक्रम आयोजित किया"
"21","श्री वेंकटेश्वर विश्वविद्यालय तिरुपति के प्रोफेसर वेंकटेश्वर ने आंध्र प्रदेश के तिरुपति मंदिर में व्याख्यान दिया"
"22","नेशनल इंस्टिट्यूट ऑफ टेक्नोलॉजी वारंगल के पूर्व छात्र रवि कुमार ने माइक्रोसॉफ्ट इंडिया प्राइवेट लिमिटेड में नौकरी शुरू की"
"23","डॉ सर्वपल्ली राधाकृष्णन राष्ट्रीय विश्वविद्यालय तिरुपति के कुलपति राधाकृष्णन ने आंध्र प्रदेश विश्वविद्यालय में भाषण दिया"
"24","पंडित जवाहरलाल नेहरू पोर्ट ट्रस्ट मुंबई के अधिकारी नेहरू ने नई दिल्ली रेलवे स्टेशन पर बैठक की"
"25","सर सैयद अहमद खान अलीगढ़ मुस्लिम विश्वविद्यालय के प्रोफेसर अहमद ने उत्तर प्रदेश के अलीगढ़ में शोध प्रस्तुत किया"
"26","राजीव गांधी अंतरराष्ट्रीय क्रिकेट स्टेडियम हैदराबाद के खिलाड़ी गांधी ने मुंबई इंडियंस टीम के साथ मैच खेला"
"27","बिरला इंस्टीट्यूट ऑफ टेक्नोलॉजी एंड साइंस पिलानी के छात्र बिरला ने राजस्थान विश्वविद्यालय में प्रवेश लिया"
